Similarity,Similarity-Flag,Valid-Page,Inavlid-Page
0.3133458600677713,0,valid-zy6rkupdx8j94f3o0s1bit.html,invalid-cmqk3l70unth8owz4.html
0.007727574263891923,0,valid-zy6rkupdx8j94f3o0s1bit.html,invalid-wl0qt3g9b65f7pmecri42ujnvhzyx8dka.html
0.006951460138512,0,valid-zy6rkupdx8j94f3o0s1bit.html,invalid-0598vw6lfcgehunodbr7qyt34asxjkm1pzi2.html
0.08712920135991065,0,valid-zy6rkupdx8j94f3o0s1bit.html,invalid-pnwhio26zq7crg5yf3uav98m1lb4dsx.html
0.033879266192640256,0,valid-zy6rkupdx8j94f3o0s1bit.html,invalid-8eub2m347cv9qrag5skjp.html
0.17296883749080683,0,valid-zy6rkupdx8j94f3o0s1bit.html,invalid-pj5ezv94yn7tu2x0biwchq8s13molk6df.html
0.03166782131056889,0,valid-zy6rkupdx8j94f3o0s1bit.html,invalid-tkebw873sply5gjv.html
0.16911684550360406,0,valid-zy6rkupdx8j94f3o0s1bit.html,invalid-tzj1kdx85gpnmfe3yauqv09h4iborw.html
0.8426283200157929,1,valid-zy6rkupdx8j94f3o0s1bit.html,invalid-5lzks4ytpg9dwv0h8cj372oin6mxbua.html
0.010444206563264169,0,valid-zy6rkupdx8j94f3o0s1bit.html,invalid-5kzgd4c1ve07oufm8tlhjwq2ra96ib3ns.html
0.10313475367441127,0,valid-zy6rkupdx8j94f3o0s1bit.html,invalid-20zv1qbs97korhwmnt65x.html
0.09918260975837101,0,valid-zy6rkupdx8j94f3o0s1bit.html,invalid-mjseaoku4zgif3b16t70w9.html
0.09330135425210895,0,valid-zy6rkupdx8j94f3o0s1bit.html,invalid-wfa9yp13on0lsc8vudb425hetrimgzxjq6.html
0.2176917882374022,0,valid-zy6rkupdx8j94f3o0s1bit.html,invalid-9vkwruo47jgnceb5ylf0m123.html
0.09149461955613436,0,valid-zy6rkupdx8j94f3o0s1bit.html,invalid-few71jn2mlbiysg.html
0.04452407054206109,0,valid-zy6rkupdx8j94f3o0s1bit.html,invalid-9difky5n0cbxoustqh6wevr4p8la1.html
0.18348030354371414,0,valid-zy6rkupdx8j94f3o0s1bit.html,invalid-8c62iq75ur3ybtkf9hd.html
0.030168019357842524,0,valid-zy6rkupdx8j94f3o0s1bit.html,invalid-xdm38nhlkof2tvaru.html
0.17076996963303315,0,valid-zy6rkupdx8j94f3o0s1bit.html,invalid-fuqonatxb8ipkcvdlsgj72w51r036ym9zh.html
0.09664967856842333,0,valid-zy6rkupdx8j94f3o0s1bit.html,invalid-lan7h3gsk5yw80rtdie2o9q4zpuv.html
0.13885115522819658,0,valid-zy6rkupdx8j94f3o0s1bit.html,invalid-juwm92e0kc8s4lbda6gz3vrt.html
0.06896334888579747,0,valid-zy6rkupdx8j94f3o0s1bit.html,invalid-13cuzv4oxfawyj7rshnp2kdbe8qg0m95i6.html
